snapshot_date,principle,total_value
2015-09-17,17069.7,44315.76
2015-09-18,18492.18,46343.07
2015-09-19,18492.18,46343.07
2015-09-20,18492.18,46343.07
2015-09-21,18492.18,47553.6
2015-09-22,18492.18,47618.18
2015-09-23,18492.18,46750.71
2015-09-24,18492.18,47084.42
2015-09-25,18492.18,45499.78
2015-09-26,18492.18,45499.78
2015-09-27,18492.18,45499.78
2015-09-28,18492.18,45894.09
2015-09-29,18492.18,45199.07
2015-09-30,18492.18,46748.43
2015-10-01,18492.18,46748.43
2015-10-02,18492.18,46748.43
2015-10-03,18492.18,46748.43
2015-10-04,18492.18,46748.43
2015-10-05,18492.18,46748.43
2015-10-06,18492.18,46748.43
2015-10-07,18492.18,46748.43
2015-10-08,18492.18,49241.18
2015-10-09,18492.18,49204.19
2015-10-10,18492.18,49204.19
2015-10-11,18492.18,49204.19
2015-10-12,18492.18,51432.64
2015-10-13,18492.18,51471.62
2015-10-14,18492.18,49885.27
2015-10-15,18492.18,50975.46
2015-10-16,18492.18,51265.36
2015-10-17,18492.18,51265.36
2015-10-18,18492.18,51265.36
2015-10-19,18492.18,50749.85
2015-10-20,18492.18,50719.7
2015-10-21,18492.18,49108.6
2015-10-22,18492.18,49900.92
2015-10-23,18492.18,50820.13
2015-10-24,18492.18,50820.13
2015-10-25,18492.18,50820.13
2015-10-26,18492.18,50752.42
2015-10-27,18492.18,50088.97
2015-10-28,18492.18,49296.37
2015-10-29,18492.18,50007.61
2015-10-30,18492.18,50419.27
2015-10-31,18492.18,50419.27
2015-11-01,18492.18,50419.27
2015-11-02,18492.18,50994.81
2015-11-03,18492.18,50337.91
2015-11-04,18492.18,52393.1
2015-11-05,18492.18,53468.77
2015-11-06,18492.18,54063.94
2015-11-07,18492.18,54063.94
2015-11-08,18492.18,54063.94
2015-11-09,18492.18,54576.88
2015-11-10,18492.18,53931.36
2015-11-11,18492.18,53532.5
2015-11-12,18492.18,53811.31
2015-11-13,18492.18,52660.24
2015-11-14,18492.18,52660.24
2015-11-15,18492.18,52660.24
2015-11-16,17069.7,51944.17
2015-11-17,17069.7,51632.64
2015-11-18,17069.7,50760.1
2015-11-19,17069.7,51505.47
2015-11-20,17069.7,51324.82
2015-11-21,17069.7,51324.82
2015-11-22,17069.7,51324.82
2015-11-23,17069.7,51327.66
2015-11-24,17069.7,51484.14
2015-11-25,17069.7,51431.22
2015-11-26,17069.7,52034.07
2015-11-27,17069.7,49193.95
2015-11-28,17069.7,49193.95
2015-11-29,17069.7,49193.95
2015-11-30,17069.7,48929.09
2015-12-01,17069.7,50181.43
2015-12-02,17069.7,53258.25
2015-12-03,17069.7,52585.13
2015-12-04,31436.7,67854.41
2015-12-05,31436.7,67854.41
2015-12-06,31436.7,67854.41
2015-12-07,36984.35,74609.94
2015-12-08,44096.73,79184.58
2015-12-09,44096.73,80117.4
2015-12-10,44096.73,80049.9
2015-12-11,44096.73,80987.59
2015-12-12,44096.73,80987.59
2015-12-13,44096.73,80987.59
